Ordinal Composite Type,True Settings,True Correlation,True Model,Component Prev Type,WH-Empirical,D1-Gaus-HC,C1-Gaus-HC,D1-Clay-HC,D1-Fran-HC,D1-Gaus-LC,C1-Gaus-LC,D1-Clay-LC,D1-Fran-LC,CD-0,Naive
Summation,C1-Gaussian-HC,HC,C1-Gaussian,High,0.27975156582902155,0.29732128663721735,0.2961805303417285,0.2794778373245038,0.29838408937166133,0.30593780832738765,0.30582288139383684,0.3015442099248278,0.3058343041908078,0.3000279453906702,0.3146376862410053
Summation,C1-Gaussian-LC,LC,C1-Gaussian,High,0.5135751524740294,0.4989886971536412,0.4971854288408388,0.4704272664689293,0.5006659158620967,0.512507611962915,0.5123284862191354,0.5056367937929644,0.5123462912981032,0.5032547243467217,0.5259731191666963
Summation,D1-Clayton-HC,HC,D1-Clayton,High,0.2521209057566085,0.25779338576713917,0.25681757298844615,0.2425527388324286,0.2587027023643955,0.2651708052387973,0.265072325288054,0.2614075202891,0.2650821132910158,0.26010951454679876,0.27263214695852717
Summation,D1-Clayton-LC,LC,D1-Clayton,High,0.5477311663102308,0.5333936770598711,0.5315170826205459,0.5035831682430424,0.5351384110487492,0.5474377726864508,0.5472519746185764,0.5403054836845171,0.5472704432734924,0.5378301277298434,0.5613823906616598
Summation,D1-Frank-HC,HC,D1-Frank,High,0.25732693098496906,0.27377224175843096,0.27272875778199834,0.2574655514097334,0.2747445433759344,0.2816585476755191,0.28155330697826186,0.2776362833181213,0.28156376697707536,0.27624865709786595,0.2896294970252543
Summation,D1-Frank-LC,LC,D1-Frank,High,0.5013396491166457,0.4870670653927625,0.48529237709579265,0.4589852846258833,0.4887179134819516,0.5003793077740489,0.50020283171849,0.4936118422370079,0.5002203733108299,0.4912664211218235,0.5136526155315835
Summation,D1-Gaussian-HC,HC,D1-Gaussian,High,0.2789828685143772,0.2971304058638098,0.2959904253389875,0.2792992349234351,0.29819248700774365,0.3057411103345003,0.30562626049003827,0.30135046870843385,0.3056376756243703,0.299835229162551,0.314435193029906
Summation,D1-Gaussian-LC,LC,D1-Gaussian,High,0.5154954494315144,0.5009135554850863,0.4991058214834024,0.47227687316107536,0.502594892302777,0.5144646793491557,0.5142851416716558,0.5075777733436629,0.5143029877148264,0.5051899897757169,0.5279599858463241
Summation,D2-HC,HC,D2,High,0.26681762643350515,0.28085451618834345,0.2797814557389746,0.2640811381121527,0.28185434004157794,0.2889630166598741,0.2888548266163439,0.28482772341924534,0.2888655797735977,0.2834009594883482,0.2971560728536228
Summation,D2-LC,LC,D2,High,0.5212470599049481,0.5065206847163346,0.5047001819022029,0.4776683306638778,0.5082137926231628,0.5201637661245344,0.5199830540337051,0.513230960788309,0.5200010168669369,0.5108268589414021,0.5337438957846908
Summation,C1-Gaussian-HC,HC,C1-Gaussian,Low,0.08324335202605014,0.1007935305955862,0.10173734921687468,0.12083408135198538,0.11603394321862852,0.11347516229736246,0.11394072253479914,0.12299864124160814,0.1204699345480814,0.12503210014877855,0.2507506802001328
Summation,C1-Gaussian-LC,LC,C1-Gaussian,Low,0.12927330376594837,0.11073790090513826,0.1118288030824766,0.13394556822795253,0.1283796136183448,0.12541420598615574,0.12595366063439445,0.13645660631448994,0.13352319890410047,0.13881613443301247,0.28451280427401604
Summation,D1-Clayton-HC,HC,D1-Clayton,Low,0.07367464565708028,0.11217798904555353,0.11329036983942338,0.1358479661807821,0.13017027762016198,0.12714552460797462,0.12769576463663104,0.1384095394622255,0.13541710380279118,0.14081661551275487,0.28938569373463086
Summation,D1-Clayton-LC,LC,D1-Clayton,Low,0.11132617801678256,0.11299205753791455,0.11411659779429216,0.13692372719129928,0.13118279891405424,0.12812445487087773,0.12868079982065486,0.139513900408294,0.13648805810423026,0.1419478843975586,0.2921376001502465
Summation,D1-Frank-HC,HC,D1-Frank,Low,0.08699470905264332,0.08657507218712368,0.087313334380143,0.10218974184589526,0.09846012451778428,0.09646958924082896,0.09683189135898164,0.10386978234026496,0.10190700162046476,0.10544713384289464,0.2025283205676773
Summation,D1-Frank-LC,LC,D1-Frank,Low,0.13689782918123364,0.11262761389700587,0.11374670902290691,0.13644209779696995,0.1307294875091061,0.1276861853527403,0.12823979654042136,0.1390194645071826,0.13600858107570962,0.14144139975973355,0.29090587338533413
Summation,D1-Gaussian-HC,HC,D1-Gaussian,Low,0.08373496863608826,0.10070312878056688,0.10164562128800782,0.12071511910315089,0.1159218890371926,0.1133667753426186,0.11383166918512869,0.12287655284224508,0.12035149757224536,0.12490706926216404,0.25044328151126827
Summation,D1-Gaussian-LC,LC,D1-Gaussian,Low,0.1291175269149736,0.11066362270775423,0.11175341815690726,0.13384746686899973,0.12828727044783558,0.12532492102394877,0.12586381988270082,0.13635590050200766,0.13342553524678824,0.1387129780404569,0.2842613103539431
Summation,D2-HC,HC,D2,Low,0.08286705855045348,0.09540690371022524,0.09627210083190448,0.11375422208889792,0.1093636617142128,0.10702229591083512,0.10744834880535203,0.11573341808710602,0.11342122011349964,0.11759239276066172,0.23243903255995357
Summation,D2-LC,LC,D2,Low,0.12622007264710652,0.11204291882699222,0.11315328335107672,0.1356695002078211,0.1300022990723358,0.12698311649001995,0.12753234414248615,0.1382263304314697,0.1352394349718633,0.14062894392960495,0.28892890332658994
Summation,C1-Gaussian-HC,HC,C1-Gaussian,Moderate,0.2561430175668982,0.2787929841896236,0.27947634400414795,0.28958915588180345,0.28158313354719255,0.29078654974967155,0.29083399840196134,0.29228110429069504,0.2910621794935562,0.2878220763287419,0.3044036675938891
Summation,C1-Gaussian-LC,LC,C1-Gaussian,Moderate,0.47718078631112304,0.45558982336215786,0.45667472814007504,0.472616208041281,0.4600133948811205,0.47448950845043875,0.47456367840285246,0.47682344418349326,0.4749202958157347,0.4698461068184749,0.495577514278214
Summation,D1-Clayton-HC,HC,D1-Clayton,Moderate,0.2540525559186668,0.30021341906728577,0.30095320061310965,0.3118940235881926,0.30323356828001713,0.31318857679755985,0.3132398716343816,0.3148041360414988,0.3134865448964768,0.3099832139372997,0.3278969813273015
Summation,D1-Clayton-LC,LC,D1-Clayton,Moderate,0.4504026517222448,0.43338519955284494,0.43442895925533825,0.4497829751940427,0.437641927371448,0.4515893839343828,0.4516609148561201,0.45384062167956984,0.45200485355960424,0.447112624132906,0.4719565927033524
Summation,D1-Frank-HC,HC,D1-Frank,Moderate,0.2313830752924756,0.2488016535614507,0.249403376533218,0.2583148918890774,0.25125884161771117,0.2593709153074951,0.25941276580033046,0.26068927953790577,0.2596140294156464,0.25675678407902325,0.2713939002737578
Summation,D1-Frank-LC,LC,D1-Frank,Moderate,0.4651192642774941,0.44385997883603584,0.44492353625772496,0.4605606781355917,0.4481970113481808,0.46239938323954544,0.4624721885889924,0.46469056669263664,0.462822250311946,0.4578421893662532,0.48311548800626314
Summation,D1-Gaussian-HC,HC,D1-Gaussian,Moderate,0.2576809534703531,0.2794703791578828,0.2801555487599908,0.2902949502720315,0.2822679076293463,0.29149546800433057,0.29154304033597783,0.2929939142401116,0.2917718160868408,0.2885232510123112,0.30514773121243244
Summation,D1-Gaussian-LC,LC,D1-Gaussian,Moderate,0.4770923105557589,0.4554746519453949,0.4565593514277064,0.4724979096308524,0.459897391502559,0.47437087856845433,0.4744450354489803,0.4767044048735444,0.4748015900663216,0.4697283031876445,0.495455330926198
Summation,D2-HC,HC,D2,Moderate,0.2482502684769038,0.2714361347687024,0.27209973768366436,0.2819221556345911,0.2741457220086082,0.28308541726600933,0.28313151449348617,0.28453744534749104,0.2833531977637713,0.2802055462325952,0.29631828964886797
Summation,D2-LC,LC,D2,Moderate,0.472625685014782,0.4513611749575274,0.45243848570305273,0.4682718221270179,0.45575396793691386,0.470132844824547,0.4702065305550208,0.47245161268545066,0.4705608217909842,0.4655200440794483,0.4910890984550432
Rank 1,C1-Gaussian-HC,HC,C1-Gaussian,High,0.22999524566704915,0.22997217348969745,0.22997582266128583,0.23034434119636304,0.2299910746425615,0.2290396270751089,0.2290386803417024,0.2295780865196652,0.22907040313789073,0.2268371815906204,0.30786694446281615
Rank 1,C1-Gaussian-LC,LC,C1-Gaussian,High,0.23853189679292247,0.2401960650650563,0.24019990482106476,0.2405876665452606,0.24021595335693993,0.23921479359836711,0.23921379737728507,0.23978139239998308,0.2392471783648603,0.23689710592997587,0.32197566282429546
Rank 1,D1-Clayton-HC,HC,D1-Clayton,High,0.2553401771968917,0.25554283417794976,0.2555469565553978,0.2559632530359479,0.25556418631513955,0.254489298761871,0.25448822913710595,0.25509763303040556,0.25452406966392915,0.2520006281215571,0.343018980929233
Rank 1,D1-Clayton-LC,LC,D1-Clayton,High,0.24516157107590145,0.24742357934048487,0.24742755274094996,0.24782880803124324,0.24744415984784549,0.24640813742722276,0.2464071064981068,0.24699447077483117,0.2464416504502213,0.2440096098866484,0.3319068105578173
Rank 1,D1-Frank-HC,HC,D1-Frank,High,0.24202679947116887,0.2418807302843084,0.2418846012748952,0.24227551666677555,0.2419007803566964,0.24089147291375249,0.2408904685813376,0.2414626837846589,0.24092412135614383,0.2385548939595792,0.3242937542202706
Rank 1,D1-Frank-LC,LC,D1-Frank,High,0.24271764255447328,0.24439367223904016,0.2443975897276274,0.24479319985548095,0.2444139631492432,0.2433925262549164,0.24339150984692673,0.2439706031690035,0.24342556723895264,0.2410278220147711,0.32774791806739256
Rank 1,D1-Gaussian-HC,HC,D1-Gaussian,High,0.230125036227269,0.230080142220654,0.23008379341375604,0.23045251606344289,0.23009905384403,0.22914707900653664,0.22914613174826545,0.2296858369039735,0.22917787213120833,0.2269434113948048,0.3080162943522453
Rank 1,D1-Gaussian-LC,LC,D1-Gaussian,High,0.23853678964420968,0.24020047643462616,0.2402043162724885,0.24059208626125847,0.24022036515047415,0.23921918404012077,0.2392181877977823,0.2397857949280609,0.2392515694975964,0.23690144686660972,0.32198173537908825
Rank 1,D2-HC,HC,D2,High,0.23347356379522263,0.2331245612967369,0.23312826941501524,0.2335027398351005,0.2331437677663087,0.23217694497250596,0.2321759829338024,0.23272410737228888,0.23220821856753895,0.2299388605922532,0.3122244719341997
Rank 1,D2-LC,LC,D2,High,0.23171536922348376,0.23300385956073863,0.23300756542493312,0.23338180824994376,0.2330230543551967,0.2320568195079428,0.2320558580545196,0.23260364910595047,0.23208807407716103,0.22982009801517472,0.31205774468767705
Rank 1,C1-Gaussian-HC,HC,C1-Gaussian,Low,0.08297921130818718,0.1004954346294648,0.10144459678593624,0.12075499054525318,0.1158521397002861,0.11324596232285908,0.11372212777957674,0.12299124517927353,0.12038028173937527,0.12511189716155152,0.24951309954713757
Rank 1,C1-Gaussian-LC,LC,C1-Gaussian,Low,0.1274839191426876,0.10914073220469392,0.11021889887140636,0.13219350095350918,0.12660812425816995,0.12364061440951486,0.12418271503549631,0.13474213581673525,0.13176651147558546,0.1371595712054251,0.27884840408224504
Rank 1,D1-Clayton-HC,HC,D1-Clayton,Low,0.0736750785852839,0.11226181503310624,0.11338696575138998,0.13633148343898152,0.13049774653744392,0.1273987126655614,0.1279648153749338,0.13899374943003193,0.13588547385479302,0.14151911698122355,0.28940520064122777
Rank 1,D1-Clayton-LC,LC,D1-Clayton,Low,0.1109459398718762,0.11262515844001292,0.11375579148019951,0.13681346294443028,0.13095075665864597,0.1278363797417781,0.1284052825155791,0.13948898155570677,0.13636523497123154,0.14202693603379915,0.2906324196472999
Rank 1,D1-Frank-HC,HC,D1-Frank,Low,0.0858295594302051,0.08542771300320058,0.0861571542609192,0.10093070964603564,0.097190398315585,0.09519951196525411,0.09556340636460094,0.10263470308422697,0.10064506836898646,0.1042495326926298,0.19849230242860544
Rank 1,D1-Frank-LC,LC,D1-Frank,Low,0.1345641129326718,0.11058911717128636,0.11168906283404788,0.13411329703423217,0.1284127763021233,0.1253842928911597,0.1259375205549328,0.13671461622967512,0.1336774892014431,0.13918209558789152,0.28375062757999314
Rank 1,D1-Gaussian-HC,HC,D1-Gaussian,Low,0.08346049497634254,0.10039441721076368,0.10134208301636836,0.12062156928587886,0.11572663834149612,0.11312465305439724,0.11360005357980778,0.12285419837769426,0.1202474672100432,0.12497140533857824,0.2491699522319563
Rank 1,D1-Gaussian-LC,LC,D1-Gaussian,Low,0.12732035979061654,0.10906097755531977,0.11013794624997324,0.13208781423108917,0.1265087720188745,0.123544616388893,0.12408610491215376,0.13463355059758148,0.13166130989704808,0.1370482326595093,0.27857831982198866
Rank 1,D2-HC,HC,D2,Low,0.08250336825668521,0.0950051415205315,0.09587339519225065,0.11351265245847958,0.10903804985371124,0.10665853421211316,0.1070933412242438,0.11555284866403746,0.1131707526529968,0.11748719230013834,0.23086966480533855
Rank 1,D2-LC,LC,D2,Low,0.12499526064310049,0.11091532322007248,0.11202017992619666,0.13454579511053963,0.1288193144565878,0.1257770834317384,0.12633281992640247,0.1371589916046658,0.13410799919847355,0.13963775255838687,0.2848539769635787
Rank 1,C1-Gaussian-HC,HC,C1-Gaussian,Moderate,0.24281443050941687,0.26553147800957133,0.2663844763376507,0.27908406402522856,0.2689207550560984,0.27963606192296386,0.2799661180560128,0.28455101929573534,0.28055001785890354,0.2875177619348851,0.2901302762188891
Rank 1,C1-Gaussian-LC,LC,C1-Gaussian,Moderate,0.3597618948796455,0.3376688244744993,0.3387673114934975,0.3550725535152228,0.34203109850254093,0.35577913752604723,0.3562015386376252,0.362062467622861,0.35694864598266696,0.3658480925372627,0.3691772350825991
Rank 1,D1-Clayton-HC,HC,D1-Clayton,Moderate,0.25653164651226,0.3046657243930233,0.3056552555711781,0.3203653293424713,0.3085964061755423,0.32100374612843813,0.32138543528659735,0.32668450672737603,0.3220606062422192,0.33011026746326666,0.33312494583023256
Rank 1,D1-Clayton-LC,LC,D1-Clayton,Moderate,0.38905574052525366,0.37143213296284594,0.37263529637005544,0.3904632879082755,0.3762085605358063,0.39123452164000216,0.39169551678343184,0.3980877456098893,0.3925107867769163,0.40221233265785766,0.40583679973300457
Rank 1,D1-Frank-HC,HC,D1-Frank,Moderate,0.20661093875098815,0.22293235821614352,0.22362945485349672,0.2340209372338791,0.22570281150567523,0.23447318373026765,0.23474361904747015,0.23850215704761993,0.2352220874268813,0.2409360553505888,0.24308059050279895
Rank 1,D1-Frank-LC,LC,D1-Frank,Moderate,0.33651129068445773,0.3155233409807927,0.3165493906784694,0.33179512990669197,0.3195987292829841,0.3324564816902469,0.33285187025806623,0.33834014360964354,0.33355125081202924,0.3418872257389836,0.34500801161022887
Rank 1,D1-Gaussian-HC,HC,D1-Gaussian,Moderate,0.2440077785489913,0.26586122972562054,0.26671540787833187,0.27943241622563897,0.2692551875757561,0.2799851649916722,0.28031566983246325,0.2849067839400507,0.2809003629647525,0.2878775262909486,0.2904935491792867
