Ordinal Composite Type,True Settings,True Correlation,True Model,Component Prev Type,WH-Empirical,D1-Gaus-HC,C1-Gaus-HC,D1-Clay-HC,D1-Fran-HC,D1-Gaus-LC,C1-Gaus-LC,D1-Clay-LC,D1-Fran-LC,CD-0,Naive
Summation,C1-Gaussian-HC,HC,C1-Gaussian,High,28,29.7,29.6,27.9,29.8,30.6,30.6,30.2,30.6,30,31.5
Summation,C1-Gaussian-LC,LC,C1-Gaussian,High,51.4,49.9,49.7,47,50.1,51.3,51.2,50.6,51.2,50.3,52.6
Summation,D1-Clayton-HC,HC,D1-Clayton,High,25.2,25.8,25.7,24.3,25.9,26.5,26.5,26.1,26.5,26,27.3
Summation,D1-Clayton-LC,LC,D1-Clayton,High,54.8,53.3,53.2,50.4,53.5,54.7,54.7,54,54.7,53.8,56.1
Summation,D1-Frank-HC,HC,D1-Frank,High,25.7,27.4,27.3,25.7,27.5,28.2,28.2,27.8,28.2,27.6,29
Summation,D1-Frank-LC,LC,D1-Frank,High,50.1,48.7,48.5,45.9,48.9,50,50,49.4,50,49.1,51.4
Summation,D1-Gaussian-HC,HC,D1-Gaussian,High,27.9,29.7,29.6,27.9,29.8,30.6,30.6,30.1,30.6,30,31.4
Summation,D1-Gaussian-LC,LC,D1-Gaussian,High,51.5,50.1,49.9,47.2,50.3,51.4,51.4,50.8,51.4,50.5,52.8
Summation,D2-HC,HC,D2,High,26.7,28.1,28,26.4,28.2,28.9,28.9,28.5,28.9,28.3,29.7
Summation,D2-LC,LC,D2,High,52.1,50.7,50.5,47.8,50.8,52,52,51.3,52,51.1,53.4
Summation,C1-Gaussian-HC,HC,C1-Gaussian,Low,8.3,10.1,10.2,12.1,11.6,11.3,11.4,12.3,12,12.5,25.1
Summation,C1-Gaussian-LC,LC,C1-Gaussian,Low,12.9,11.1,11.2,13.4,12.8,12.5,12.6,13.6,13.4,13.9,28.5
Summation,D1-Clayton-HC,HC,D1-Clayton,Low,7.4,11.2,11.3,13.6,13,12.7,12.8,13.8,13.5,14.1,28.9
Summation,D1-Clayton-LC,LC,D1-Clayton,Low,11.1,11.3,11.4,13.7,13.1,12.8,12.9,14,13.6,14.2,29.2
Summation,D1-Frank-HC,HC,D1-Frank,Low,8.7,8.7,8.7,10.2,9.8,9.6,9.7,10.4,10.2,10.5,20.3
Summation,D1-Frank-LC,LC,D1-Frank,Low,13.7,11.3,11.4,13.6,13.1,12.8,12.8,13.9,13.6,14.1,29.1
Summation,D1-Gaussian-HC,HC,D1-Gaussian,Low,8.4,10.1,10.2,12.1,11.6,11.3,11.4,12.3,12,12.5,25
Summation,D1-Gaussian-LC,LC,D1-Gaussian,Low,12.9,11.1,11.2,13.4,12.8,12.5,12.6,13.6,13.3,13.9,28.4
Summation,D2-HC,HC,D2,Low,8.3,9.5,9.6,11.4,10.9,10.7,10.7,11.6,11.3,11.8,23.2
Summation,D2-LC,LC,D2,Low,12.6,11.2,11.3,13.6,13,12.7,12.8,13.8,13.5,14.1,28.9
Summation,C1-Gaussian-HC,HC,C1-Gaussian,Moderate,25.6,27.9,27.9,29,28.2,29.1,29.1,29.2,29.1,28.8,30.4
Summation,C1-Gaussian-LC,LC,C1-Gaussian,Moderate,47.7,45.6,45.7,47.3,46,47.4,47.5,47.7,47.5,47,49.6
Summation,D1-Clayton-HC,HC,D1-Clayton,Moderate,25.4,30,30.1,31.2,30.3,31.3,31.3,31.5,31.3,31,32.8
Summation,D1-Clayton-LC,LC,D1-Clayton,Moderate,45,43.3,43.4,45,43.8,45.2,45.2,45.4,45.2,44.7,47.2
Summation,D1-Frank-HC,HC,D1-Frank,Moderate,23.1,24.9,24.9,25.8,25.1,25.9,25.9,26.1,26,25.7,27.1
